"name","sex","start","stop","cyst","death","mom","momdied"
"Bicha","M",0,322,"1",0,"Nancy",0
"Fuschia","F",0,118,"1",0,"Fifa",0
"Guppy","F",0,559.041666666667,"1",0,"Ghost",0
"Mufassa","M",0,648.041666666667,"1",0,"Mary",0
"Delia","F",0,1095.75,"0",0,"Dotty",0
"Glenda","F",0,1095.75,"0",0,"Gladys",0
"Tea","F",0,1095.75,"0",0,"Tail",0
"Bombolino","F",0,1095.75,"0",0,"Betty",0
"Dessie","F",0,1095.75,"0",0,"Debra",0
"Lee","F",0,1095.75,"0",0,"Lada",0
"Midge","F",0,1095.75,"0",0,"Mary",0
"Hupu","F",0,1095.75,"0",0,"Hadar",0
"Top","F",0,1095.75,"0",0,"Tail",0
"Coco","F",0,1095.75,"0",0,"Carmen",0
"Hippie","F",0,1095.75,"0",0,"Harriet",0
"Botox","F",0,1095.75,"0",0,"Brenda",0
"Fidget","F",0,1095.75,"0",0,"Fifa",0
"Tess","F",0,1095.75,"0",0,"Tail",0
"Violet","F",0,1095.75,"0",0,"Vye",0
"Nadia","F",0,1095.75,"0",0,"Nardos",0
"Noggin","F",0,1095.75,"0",0,"Nokia",0
"Zara","F",0,1095.75,"0",0,"Zelda",0
"Vienna","F",0,1095.75,"0",0,"Valerie",0
"Diana","F",0,1095.75,"0",0,"Delia",0
"Theo","M",0,1095.75,"0",0,"Tubby",0
"Tangle","M",0,1095.75,"0",0,"Trudy",0
"Kylie","F",0,1095.75,"0",0,"Keegle",0
"Bianca","F",0,1095.75,"0",0,"Buna",0
"Zaire","M",0,1095.75,"0",0,"Zimbaba",0
"Hemlock","F",0,462.041666666667,"0",0,"Hickory",0
"Heidi","F",0,1095.75,"0",0,"Himanot",0
"Heath","F",0,929.041666666667,"0",0,"Hippie",0
"Rhubarb","M",0,359,"0",0,"Roo",0
"Jitterbug","F",0,1095.75,"0",0,"Jubilee",0
"Julian","M",0,1095.75,"0",0,"Jubilee",0
"Jude","M",0,1095.75,"0",0,"Jubilee",0
"Pod","F",0,210,"0",0,"Pea",0
"Poe","F",0,451.958333333333,"0",0,"Penelope",0
"Presto","F",0,1032,"0",0,"Proxy",0
"Wasp","F",0,399,"0",0,"Weevil",0
"Widget","F",0,378,"0",0,"Wilma",0
"Brazil","F",0,269,"0",0,"Botox",0
"Carmen","F",0,1095.75,"0",0,"Cali",0
"Zoo","F",0,1095.75,"0",0,"Zimbaba",0
"Poof","F",0,589,"1",0,"Putty",0
